[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/flash.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/swing.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.min.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.min.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.min.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.min.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/flash.min.css
[2025-04-07 19:15:42] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost:10025/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.min.css
